url,label
https://www.google.com,0
https://www.microsoft.com,0
https://www.wikipedia.org,0
https://www.amazon.com,0
https://github.com,0
https://www.apple.com,0
https://www.youtube.com,0
https://www.linkedin.com,0
https://www.ibm.com,0
https://www.python.org,0
http://secure-login-example.com/verify,1
http://account-update-example.com/login,1
+,1
http://paypal-security-example.com/verify,1
http://free-gift-example.com/winner,1
http://bank-account-example.com/confirm,1
http://secure-password-example.com/update,1
http://login-verify-example.com/account,1
http://free-reward-example.com/gift,1
http://account-security-example.com/login,1

